"reactor.ID","IPL.num","User","Type.1","Type.2","sample.ID","group.num","rep.num","Date.Time","Data.File","IPL.ID","Name.full","flag.major","flag.analysis","primes","comments","version","d17O","d.17O","d17O.err","d18O","d.18O","d18O.err","CAP.17O","CAP17O.err","d33","d33.err","d34","d34.err","d35","d35.err","d36","d36.err","X33.mismatch.R2","X34.mismatch.R2","d.18O.prelim","test.d.18O.prelim","flag.d18O","flag","reactor.segment","d33.smow_ref","d34.smow_ref","d17O.slap","d18O.slap","dp17O.final","dp18O.final","D17O.final","D17O.per.meg","dp17O.final.2nd","dp18O.final.2nd","D17O.final.3rd","dp17O.final.2nd.type","dp18O.final.2nd.type","D17O.final.3rd.type"
"1333-1459",1335,NA,"WaterStd","SMOW","SMOW",1,2,"2014-01-20 00:00:00",NA,"JHU-17O-1335",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-201, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, leave out of normalization scheme, first 3 and off from subsequent standards, comments, double injection, v. 3 was open for first injection, O2.yield, 313, O2.resid, 100, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.9276376811594,0.0278921088431904,-34.2664782608696,0.0113896349882794,NA,NA,NA,NA,-17.9244776577145,-34.2653688448746,-34.2664782608696,0.0258840579710053,0,0,1,0.0780870638146247,0.104879847062644,0.0807536681275653,0.108305721372622,0.0807504077256093,0.108299856731464,0.0235680833713965,23.5680833713965,0.0807504077256093,0.108299856731464,23.5680833713965,"no correction","no correction","no correction"
"1333-1459",1336,NA,"WaterStd","SMOW","SMOW",1,3,"2014-01-20 00:00:00",NA,"JHU-17O-1336",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-201, replicate.set, NA, project, NA, flag_normalize, 1, flag notes, leave out of normalization scheme, first 3 and off from subsequent standards, comments, double injection, v. 3 was open for first injection, O2.yield, 314.2, O2.resid, 120, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.0250579710145,0.0260055899296167,-34.4464492753623,0.0131770033992869,NA,NA,NA,NA,-18.0234544854886,-34.4453198289816,-34.4464492753623,0.1799710144927,0,0,1,-0.0211193703115731,-0.0814965039425131,-0.0218405781686533,-0.0841585671227053,-0.021840816677575,-0.0841621086536501,0.0225967766915523,22.5967766915523,-0.021840816677575,-0.0841621086536501,22.5967766915523,"no correction","no correction","no correction"
"1333-1459",1337,NA,"WaterStd","USGS45","USGS45",1,1,"2014-01-21 00:00:00",NA,"JHU-17O-1337",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS 45 012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 293.5, O2.resid, 110, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.1694492753623,0.0248445379438549,-36.5919855072464,0.012131016098297,NA,NA,NA,NA,-19.1694492753623,-36.5932918013228,-36.5919855072464,2.1455362318841,0,0,1,-1.18649242266211,-2.30339437441485,-1.22701009174816,-2.37863418295825,-1.2277634849746,-2.38146762728988,0.0296514222344513,29.6514222344513,-1.2277634849746,-2.38146762728988,29.6514222344513,"no correction","no correction","no correction"
"1333-1459",1338,NA,"WaterStd","USGS45","USGS45",1,2,"2014-01-21 00:00:00",NA,"JHU-17O-1338",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, NA, CDW.num, NA, sample.descrip, USGS 45 012113, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 320.5, O2.resid, 75, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.2114927536232,0.0277905100118336,-36.6706231884058,0.0155356340385156,NA,NA,NA,NA,-19.2114927536232,-36.6706231884058,-36.6706231884058,0.0786376811593996,0,0,1,-1.22930674360833,-2.38483084410035,-1.27128648396859,-2.46273075481977,-1.2720952541558,-2.46576826427523,0.0298303893815177,29.8303893815177,-1.2720952541558,-2.46576826427523,29.8303893815177,"no correction","no correction","no correction"
"1333-1459",1340,NA,"WaterStd","SLAP","SLAP",1,2,"2014-01-21 00:00:00",NA,"JHU-17O-1340",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP2-051613, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 316, O2.resid, 110, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-45.901884057971,0.022906803659152,-85.6899275362318,0.0109320344704944,NA,NA,NA,NA,-45.896458476322,-85.6870318752282,-85.6899275362318,0.166942028985403,0,0,1,-28.4090508264285,-53.1487780214585,-29.3791948395284,-54.8848697333549,-29.8194068806979,-56.4485279391894,-0.014584128805911,-14.584128805911,-29.8194068806979,-56.4485279391894,-14.584128805911,"no correction","no correction","no correction"
"1333-1459",1341,NA,"WaterStd","SLAP","SLAP",1,3,"2014-01-21 00:00:00",NA,"JHU-17O-1341",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, NA, CDW.num, NA, sample.descrip, SLAP2-051613, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 309.8, O2.resid, 92, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-46.0251739130435,0.0518779553436654,-85.9866231884058,0.0232777989719542,NA,NA,NA,NA,-46.0630048263297,-86.0036016650515,-85.9866231884058,0.296695652173995,0,0,1,-28.5346011291824,-53.4560333490297,-29.5090325743159,-55.2021614803415,-29.953183551176,-56.7843018665691,0.0289278343724213,28.9278343724213,-29.953183551176,-56.7843018665691,28.9278343724213,"no correction","no correction","no correction"
"1333-1459",1343,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,2,"2014-01-21 00:00:00",NA,"JHU-17O-1343",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, JHU-CDW-309, CDW.num, NA, sample.descrip, Tank #2 CO2, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 340, O2.resid, 85, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.32442028985507,0.023844721821365,-6.62702898550725,0.00860398507958877,NA,NA,NA,NA,-3.32047199095153,-6.62568583970387,-6.62702898550725,0.37014492753623,0,0,1,14.9490459401944,28.7280429395025,15.4595426656585,29.6664373693074,15.3412614275005,29.2349025774465,-0.0947671333913025,-94.7671333913025,15.3412614275005,29.2349025774465,-94.7671333913025,"no correction","no correction","no correction"
"1333-1459",1344,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,3,"2014-01-22 00:00:00",NA,"JHU-17O-1344",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, JHU-CDW-310, CDW.num, NA, sample.descrip, Tank #2 CO2, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 342, O2.resid, 52, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-3.31721739130435,0.0247765719304355,-6.60802898550724,0.0104992590977996,NA,NA,NA,NA,-3.31721739130435,-6.60926785548359,-6.60802898550724,0.0190000000000099,0,0,1,14.9563808996946,28.7477191672498,15.4671281075521,29.6867563161762,15.3487313593328,29.2546359062721,-0.0977163991789034,-97.7163991789034,15.3487313593328,29.2546359062721,-97.7163991789034,"no correction","no correction","no correction"
"1333-1459",1345,NA,"CO2Std","Tank#2 CO2","Tank#2 CO2",1,4,"2014-01-22 00:00:00",NA,"JHU-17O-1345",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, JHU-CDW-311, CDW.num, NA, sample.descrip, Tank #2 CO2, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 255, O2.resid, 62, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.89620289855073,0.0280018800367493,-5.81330434782609,0.0132557471973326,NA,NA,NA,NA,-2.89476819991808,-5.81255501902151,-5.81330434782609,0.79472463768115,0,0,1,15.3851144479487,29.5707287971199,15.910502528097,30.5366493524088,15.7852572134122,30.0796853471287,-0.0968166498717125,-96.8166498717125,15.7852572134122,30.0796853471287,-96.8166498717125,"no correction","no correction","no correction"
"1333-1459",1347,NA,"WaterStd","SMOW","SMOW",2,5,"2014-01-23 00:00:00",NA,"JHU-17O-1347",NA,NA,0,0,"session.name, Jan_2014, session.numeric, 2014_01, Reduction.ID, NA, CDW.num, NA, sample.descrip, VSMOW2-052013-4, replicate.set, NA, project, NA, flag_normalize, 0, flag notes, NA, comments, double injection, v. 3 was open for first injection, O2.yield, 318, O2.resid, 53, comments, double injection, v. 3 was open for first injection",NA,NA,NA,NA,NA,NA,NA,NA,NA,-17.967347826087,0.0293667609656967,-34.2905217391304,0.0161542279073897,NA,NA,NA,NA,-17.9628794902049,-34.2882062421184,-34.2905217391304,0.195376811594201,0,0,1,0.0376488565092536,0.079980638952204,0.0389345317317616,0.0825931867767475,0.0389337738025526,0.0825897761472691,-0.00467362800320548,-4.67362800320548,0.0389337738025526,0.0825897761472691,-4.67362800320548,"no correction","no correction","no correction"
